Timestamp,FlowRate,TotalVol,AvgFlowRate
2026-02-12 14:47:21,0.0,0.0,0.0
2026-02-12 14:47:31,0.0,0.0,0.0
2026-02-12 14:47:41,0.0,0.0,0.0
2026-02-12 14:47:51,0.0,0.0,0.0
2026-02-12 14:48:01,0.0,0.0,0.0
2026-02-12 14:48:11,0.0,0.0,0.0
2026-02-12 14:49:08,0.0,0.0,0.0
2026-02-12 14:49:18,0.03,4.44,0.22
2026-02-12 14:49:28,0.0,4.44,0.15
2026-02-12 14:49:38,0.0,4.44,0.11
2026-02-12 14:49:48,0.0,4.44,0.09
2026-02-12 14:49:58,0.0,4.44,0.07
2026-02-12 14:50:08,0.0,4.44,0.06
2026-02-12 14:50:18,0.09,20.0,0.25
2026-02-12 14:50:28,0.0,20.0,0.22
2026-02-12 14:50:38,0.0,20.0,0.2
2026-02-12 14:50:48,0.0,20.0,0.18
2026-02-12 14:50:58,0.0,20.0,0.17
2026-02-12 14:51:08,0.0,20.0,0.15
2026-02-12 14:51:18,0.0,20.0,0.14
2026-02-12 14:51:28,0.01,22.22,0.15
2026-02-12 14:51:38,0.0,22.22,0.14
2026-02-12 14:51:48,0.01,24.44,0.14
2026-02-12 14:51:58,0.0,24.44,0.14
2026-02-12 14:52:08,0.01,26.67,0.14
2026-02-12 14:52:18,0.03,31.11,0.16
2026-02-12 14:52:28,0.0,31.11,0.15
2026-02-12 14:52:38,0.0,31.11,0.14
2026-02-12 14:52:48,0.0,31.11,0.14
2026-02-12 14:52:58,0.0,31.11,0.13
2026-02-12 14:53:08,0.0,31.11,0.12
2026-02-12 14:53:18,0.0,31.11,0.12
2026-02-12 14:53:28,0.0,31.11,0.12
2026-02-12 14:53:38,0.0,31.11,0.11
2026-02-12 14:53:48,0.0,31.11,0.11
2026-02-12 14:53:58,0.0,31.11,0.1
2026-02-12 14:54:08,0.0,31.11,0.1
2026-02-12 14:54:18,0.0,31.11,0.1
2026-02-12 14:54:28,0.0,31.11,0.09
2026-02-12 14:54:38,0.0,31.11,0.09
2026-02-12 14:54:48,0.0,31.11,0.09
2026-02-12 14:54:58,0.0,31.11,0.09
2026-02-12 14:55:08,0.0,31.11,0.08
2026-02-12 14:55:18,0.0,31.11,0.08
2026-02-12 14:55:28,0.0,31.11,0.08
2026-02-12 14:55:38,0.0,31.11,0.08
2026-02-12 14:55:48,0.0,31.11,0.08
2026-02-12 14:55:58,0.0,31.11,0.07
2026-02-12 14:58:27,0.0,0.0,0.0
2026-02-12 14:58:37,0.12,20.41,1.01
2026-02-12 14:58:47,0.0,20.41,0.68
2026-02-12 14:58:57,0.12,40.82,1.02
2026-02-12 14:59:07,0.0,40.82,0.81
2026-02-12 14:59:17,0.06,51.02,0.85
2026-02-12 14:59:27,0.0,51.02,0.73
2026-02-12 14:59:37,0.0,51.02,0.64
2026-02-12 14:59:47,0.0,51.02,0.57
2026-02-12 15:10:05,0.0,0.0,0.0
2026-02-12 15:10:10,0.0,0.0,0.0
2026-02-12 15:10:15,0.0,0.0,0.0
2026-02-12 15:10:20,0.03,2.22,0.11
2026-02-12 15:10:25,0.08,8.89,0.35
2026-02-12 15:10:30,0.0,8.89,0.29
2026-02-12 15:10:35,0.03,11.11,0.32
2026-02-12 15:10:40,0.0,11.11,0.28
2026-02-12 15:10:45,0.0,11.11,0.25
2026-02-12 15:10:50,0.0,11.11,0.22
2026-02-12 15:10:55,0.0,11.11,0.2
2026-02-12 15:11:00,0.0,11.11,0.18
2026-02-12 15:11:05,0.0,11.11,0.17
2026-02-12 15:11:10,0.0,11.11,0.16
2026-02-12 15:11:25,0.0,0.0,0.0
2026-02-12 15:11:30,0.0,0.0,0.0
2026-02-12 15:11:35,0.0,0.0,0.0
2026-02-12 15:11:40,0.0,0.0,0.0
2026-02-12 15:11:45,0.03,2.22,0.09
2026-02-12 15:11:50,0.0,2.22,0.07
2026-02-12 15:11:55,0.03,4.44,0.13
2026-02-12 15:12:00,0.0,4.44,0.11
2026-02-12 15:12:05,0.0,4.44,0.1
2026-02-12 15:12:29,0.0,0.0,0.0
2026-02-12 15:12:34,0.0,0.0,0.0
2026-02-12 15:12:39,0.0,0.0,0.0
2026-02-12 15:12:44,0.0,0.0,0.0
2026-02-12 15:12:49,0.07,6.17,0.24
2026-02-12 15:12:54,0.0,6.17,0.2
2026-02-12 15:12:59,0.0,6.17,0.18
2026-02-12 15:13:04,0.0,6.17,0.15
2026-02-12 15:13:09,0.0,6.17,0.14
2026-02-12 15:13:14,0.0,6.17,0.12
2026-02-12 15:13:19,0.0,6.17,0.11
2026-02-12 15:13:24,0.0,6.17,0.1
2026-02-12 15:13:29,0.04,9.26,0.14
2026-02-12 15:13:34,0.04,12.35,0.18
2026-02-12 15:13:39,0.0,12.35,0.16
2026-02-12 15:13:44,0.0,12.35,0.15
2026-02-12 15:13:49,0.0,12.35,0.14
2026-02-12 15:13:54,0.0,12.35,0.14
2026-02-12 15:13:59,0.0,12.35,0.13
2026-02-16 15:10:41,0.0,0.0,0.0
2026-02-16 15:10:46,0.0,0.0,0.0
2026-02-16 15:10:51,0.0,0.0,0.0
2026-02-16 15:10:56,0.0,0.0,0.0
2026-02-16 15:11:01,0.02,1.7,0.07
2026-02-16 15:11:06,0.02,3.4,0.11
2026-02-16 15:11:11,0.02,5.1,0.14
2026-02-16 15:11:16,0.0,5.1,0.13
2026-02-16 15:11:21,0.0,5.1,0.11
2026-02-16 15:11:26,0.0,5.1,0.1
2026-02-16 15:11:31,0.0,5.1,0.09
2026-02-16 15:11:36,0.0,5.1,0.08
2026-02-16 15:13:58,0.0,0.0,0.0
2026-02-16 15:14:03,0.0,0.0,0.0
2026-02-16 15:14:08,0.0,0.0,0.0
2026-02-16 15:14:13,0.07,6.17,0.31
2026-02-16 15:14:18,0.0,6.17,0.24
2026-02-16 15:14:23,0.0,6.17,0.2
2026-02-16 15:14:28,0.0,6.17,0.18
2026-02-16 15:14:33,0.0,6.17,0.15
2026-02-16 15:14:38,0.0,6.17,0.14
2026-02-16 15:15:27,0.0,0.0,0.0
2026-02-16 15:15:32,0.0,0.0,0.0
2026-02-16 15:15:37,0.03,2.25,0.15
2026-02-16 15:15:42,0.0,2.25,0.11
2026-02-16 15:15:47,0.0,2.25,0.09
2026-02-16 15:15:52,0.0,2.25,0.07
2026-02-16 15:15:57,0.0,2.25,0.06
2026-02-16 15:16:02,0.0,2.25,0.06
2026-02-16 15:16:07,0.0,2.25,0.05
2026-02-16 15:16:12,0.0,2.25,0.04
2026-02-16 15:16:17,0.03,4.5,0.08
2026-02-16 15:16:22,0.0,4.5,0.07
2026-02-16 15:23:33,0.0,0.0,0.0
2026-02-16 15:23:38,0.2,16.67,1.63
2026-02-16 15:23:43,0.0,16.67,1.1
